Candies, NESTLE, GOOBERS Chocolate Covered Peanuts|512|9.7|34.0|53.0|36.0|502
Candies, NESTLE, BABY RUTH Bar|475|5.4|21.6|64.8|230|249
Candies, TWIZZLERS Strawberry Twists Candy|348|2.56|2.32|79.2|287|0
Syrups, table blends, pancake, with butter|291|0.0|0.09|72.4|287|3.0
Ice creams, chocolate, light|187|5.0|7.19|25.7|71.0|170
Candies, NESTLE, CHUNKY Bar|519|7.5|27.5|60.4|38.0|0
Candies, milk chocolate|535|7.65|29.7|59.4|79.0|372
Puddings, banana, dry mix, instant, prepared with 2% milk|105|2.76|1.7|19.7|296|131
Puddings, banana, dry mix, regular, prepared with 2% milk|101|2.9|1.73|18.4|164|137
Andrea's, Gluten Free Soft Dinner Roll|257|5.65|8.2|40.2|544|165
Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free|456|10.9|15.9|67.2|370|339
Glutino, Gluten Free Cookies, Chocolate Vanilla Creme|474|2.19|17.9|76.0|275|157
Glutino, Gluten Free Cookies, Vanilla Creme|487|2.19|18.8|77.3|189|67.0
Pepperidge Farm, Goldfish, Baked Snack Crackers, Original|467|9.42|18.4|65.8|947|169
Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan|459|11.2|17.3|64.7|1190.0|168
Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza|469|9.67|18.9|65.1|815|326
Rudi's, Gluten-Free Bakery, Original Sandwich Bread|320|3.13|10.7|52.8|528|92.0
Udi's, Gluten Free, Soft & Delicious White Sandwich Bread|298|5.4|8.02|51.2|515|107
Udi's, Gluten Free, Soft & Hearty Whole Grain Bread|309|7.25|9.34|49.1|510|123
Udi's, Gluten Free, Whole Grain Dinner Rolls|329|11.8|11.6|44.3|507|273
Van's, Gluten Free, Totally Original Pancakes|215|3.31|4.55|40.3|331|127
Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry|259|15.3|1.39|46.2|4330.0|2940.0
Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated|31.0|1.86|0.17|5.62|526|358
Potatoes, hash brown, refrigerated, unprepared|84.0|1.75|0.08|19.2|42.0|425
Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil|242|3.24|10.3|34.0|77.0|704
Sweet Potatoes, french fried, frozen as packaged, salt added in processing|182|2.16|8.92|35.6|146|409
Moose, meat, raw (Alaska Native)|103|22.3|1.5|0.0|65.0|317
Mashu roots, raw (Alaska Native)|135|5.8|2.4|22.6|00
Moose, liver, braised (Alaska Native)|155|24.4|4.89|3.43|70.0|235
Seal, bearded (Oogruk), meat, raw (Alaska Native)|110|26.7|0.4|0.0|00
Oil, bearded seal (Oogruk) (Alaska Native)|899|0.56|99.6|0.0|0.0|0.0
Oopah (tunicate), whole animal (Alaska Native)|67.0|11.7|2.2|0.0|00
Owl, horned, flesh, raw (Alaska Native)|136|22.7|5.0|0.0|00
Fish, salmon, king, chinook, smoked and canned (Alaska Native)|150|23.2|5.9|0.0|00
Fish, salmon, king, chinook, smoked, brined (Alaska Native)|430|39.9|30.0|0.0|693|700
Fish, salmon, king, chinook, liver (Alaska Native)|156|16.6|8.0|4.3|00
Duck, scoter, white-winged, meat (Alaska Native)|84.0|20.2|0.4|0.0|00
Sea cucumber, yane (Alaska Native)|56.0|13.0|0.4|0.0|00
Squirrel, ground, meat (Alaska Native)|111|19.3|3.8|0.0|00
Tea, tundra, herb and laborador combination (Alaska Native)|1.0|0.0|0.0|0.2|132|9.0
Walrus, meat, dried (Alaska Native)|251|57.0|2.6|0.0|00
Deer (venison), sitka, raw (Alaska Native)|116|21.5|2.66|0.0|00
Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)|870|0.4|96.5|0.0|00
Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)|465|12.6|46.1|0.0|00
Oil, whale, bowhead (Alaska Native)|900|0.0|100|0.0|00
Fish, whitefish, broad, liver (Alaska Native)|104|11.0|4.4|5.1|00
Mush, blue corn with ash (Navajo)|54.0|0.66|0.49|11.7|8.0|58.0
Cornmeal, blue (Navajo)|398|10.4|5.44|76.9|7.0|393
Melon, banana (Navajo)|21.0|0.84|0.2|4.06|11.0|140
Chilchen (Red Berry Beverage) (Navajo)|44.0|0.81|0.63|8.68|15.0|28.0
Corn, dried (Navajo)|386|9.88|5.22|74.9|13.0|511
Squash, Indian, cooked, boiled (Navajo)|16.0|0.31|0.15|3.22|00
Bread, kneel down (Navajo)|195|4.29|2.21|39.5|126|320
Mutton, cooked, roasted (Navajo)|234|33.4|11.1|0.08|135|409
Frybread, made with lard (Navajo)|330|6.69|12.2|48.3|329|77.0
Tamales (Navajo)|153|6.28|6.12|18.1|427|131
Stew, steamed corn (Navajo)|112|8.82|3.75|10.8|104|177
Fish, halibut, raw, with skin (Alaska Native)|116|20.5|2.92|1.81|79.0|449
Fish, salmon, coho (silver), raw (Alaska Native)|140|22.6|5.57|0.0|58.0|380
Blueberries, wild, raw (Alaska Native)|61.0|1.22|0.76|12.3|6.0|75.0
Oil, spotted seal (Alaska Native)|894|0.0|99.3|0.0|0.0|0.0
Fish, salmon, red, canned, bones removed (Alaska Native)|161|27.3|5.76|0.0|390|370
Fish, whitefish, eggs (Alaska Native)|104|14.7|2.88|4.89|160|190
Caribou, rump meat, half dried (Alaska Native)|255|52.1|5.23|0.0|390|710
Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)|206|35.2|7.26|0.0|600|470
Fish, salmon, red, (sockeye), kippered (Alaska Native)|141|24.5|4.75|0.0|460|400
Fish, salmon, king, with skin, kippered, (Alaska Native)|209|23.2|13.0|0.0|870|390
Fish, sheefish, raw (Alaska Native)|115|22.2|2.84|0.0|52.0|390
Buffalo, free range, top round steak, raw (Shoshone Bannock)|97.0|21.4|1.3|0.0|43.0|355
Seal, bearded (Oogruk), meat, partially dried (Alaska Native)|270|62.4|2.31|0.0|130|960
Buffalo, free range, top round steak, cooked (Shoshone Bannock)|146|32.5|1.8|0.0|41.0|376
Elk, free range, roast, eye of round, raw (Shoshone Bannock)|98.0|19.7|2.1|0.0|43.0|367
Corn, dried, yellow (Northern Plains Indians)|419|14.5|10.6|66.3|4.0|775
Smelt, dried (Alaska Native)|386|56.2|17.9|0.0|420|1000.0
Frybread, made with lard (Apache)|309|8.38|10.1|46.0|671|75.0
Corned beef and potatoes in tortilla (Apache)|224|7.91|8.31|29.4|511|275
ON THE BORDER, soft taco with ground beef, cheese and lettuce|229|13.2|11.0|19.3|646|274
Restaurant, Mexican, soft taco with ground beef, cheese and lettuce|219|12.6|10.8|17.9|509|244
Restaurant, Latino, chicken and rice, entree, prepared|174|12.0|5.06|20.0|518|184
Restaurant, Latino, empanadas, beef, prepared|335|11.3|18.4|31.2|440|190
Restaurant, Latino, pupusas con frijoles (pupusas, bean)|229|5.59|9.01|31.5|305|305
Restaurant, Latino, pupusas con queso (pupusas, cheese)|256|11.7|13.2|22.4|400|120
Restaurant, Latino, pupusas del cerdo (pupusas, pork)|232|11.5|10.4|23.0|426|255
Restaurant, Latino, tamale, corn|186|3.48|7.21|26.7|277|186
Restaurant, Mexican, spanish rice|185|3.28|5.29|31.2|528|116
Restaurant, Mexican, refried beans|156|6.91|6.77|16.8|376|402
Restaurant, Chinese, egg rolls, assorted|250|8.28|11.9|27.3|468|165
Restaurant, Chinese, fried rice, without meat|174|4.05|2.96|32.8|387|76.0
CRACKER BARREL, steak fries|255|3.26|13.2|30.9|43.0|551
CRACKER BARREL, grilled sirloin steak|203|31.5|8.52|0.0|180|408
CRACKER BARREL, macaroni n' cheese plate, from kid's menu|192|6.46|11.5|15.6|374|125
DENNY'S, french fries|282|3.41|14.1|35.2|44.0|492
DENNY'S, top sirloin steak|182|28.9|7.34|0.14|349|341
Restaurant, Chinese, lemon chicken|252|11.9|13.6|20.6|252|161
Restaurant, Chinese, general tso's chicken|295|12.9|16.4|24.0|435|201
Restaurant, Chinese, kung pao chicken|129|9.76|6.98|6.87|402|218
Restaurant, Chinese, vegetable lo mein, without meat|121|4.77|2.35|20.2|430|105
Restaurant, Chinese, chicken and vegetables|95.0|8.18|4.56|5.38|413|185
Restaurant, Chinese, orange chicken|262|14.5|12.7|22.5|553|209
Restaurant, Italian, spaghetti with meat sauce|121|5.79|3.59|16.4|230|172
Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame|218|0.45|0.04|87.4|404|498
Pectin, liquid|11.0|0.0|0.0|2.1|0.0|0.0
Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated|221|6.4|10.1|26.1|104|305
Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie|160|1.5|14.0|7.0|833|36.0
Bologna, beef and pork, low fat|230|11.5|19.3|2.6|1110.0|156
Milk dessert, frozen, milk-fat free, chocolate|167|4.3|1.0|37.7|97.0|333
Whipped topping, frozen, low fat|224|3.0|13.1|23.6|72.0|101
Cream substitute, powdered, light|431|1.9|15.7|73.4|229|902
Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies|529|10.2|29.3|56.9|213|330
Babyfood, apple yogurt dessert, strained|93.0|0.8|1.6|19.5|20.0|70.0
Vegetable oil-butter spread, reduced calorie|465|0.0|53.0|0.0|581|6.0
Salad dressing, blue or roquefort cheese dressing, light|86.0|2.1|2.7|13.2|939|51.0
Salad dressing, french dressing, reduced calorie|227|0.4|13.0|27.0|804|79.0
Sausage, turkey and pork, fresh, bulk, patty or link, cooked|307|22.7|23.0|0.7|878|337
Mayonnaise, made with tofu|322|5.95|31.8|3.06|773|66.0
Frankfurter, beef, low fat|140|12.0|9.5|1.6|744|129
Milk, buttermilk, fluid, cultured, reduced fat|56.0|4.1|2.0|5.3|105|180
Pork sausage rice links, brown and serve, cooked|407|13.7|37.6|2.36|689|212
Salad dressing, blue or roquefort cheese dressing, fat-free|115|1.52|1.01|25.6|814|194
Salad Dressing, mayonnaise-like, fat-free|84.0|0.2|2.7|15.5|788|49.0
Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar|443|3.2|17.5|71.2|168|196
Oil, flaxseed, cold pressed|884|0.11|100|0.0|0.0|0.0
Cheese, cottage, lowfat, 1% milkfat, lactose reduced|74.0|12.4|1.0|3.2|220|86.0
Salad dressing, bacon and tomato|326|1.8|35.0|2.0|905|108
Cheese, parmesan, low sodium|451|41.6|30.0|3.7|63.0|107
Jams, preserves, marmalade, reduced sugar|151|0.0|0.1|37.6|0.0|59.0
Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie|227|0.25|0.16|91.0|14.0|2520.0
Tomato and vegetable juice, low sodium|22.0|0.6|0.1|4.59|58.0|193
Turkey, wing, smoked, cooked, with skin, bone removed|221|27.4|12.4|0.0|996|266
Turkey, drumstick, smoked, cooked, with skin, bone removed|200|27.9|9.8|0.0|996|280
Beverages, Chocolate-flavored drink, whey and milk based|49.0|0.64|0.4|10.7|91.0|79.0
Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium|541|37.0|41.8|1.43|1030.0|565
Turkey, light or dark meat, smoked, cooked, skin and bone removed|162|29.3|5.0|0.0|996|298
Hearts of palm, raw|115|2.7|0.2|25.6|14.0|1810.0
Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size|339|10.9|2.06|80.6|0.0|391
Cheese, cottage, lowfat, 1% milkfat, with vegetables|67.0|10.9|1.0|3.0|403|86.0
Yeast extract spread|185|23.9|0.9|20.4|3380.0|2100.0
Babyfood, juice, pear|43.0|0.0|0.0|11.9|8.0|130
Chicken, meatless, breaded, fried|234|21.3|12.8|8.51|400|300
Babyfood, meat, beef with vegetables, toddler|69.0|3.5|2.1|8.72|26.0|168
